frame_id,timestamp,player_id,x_pixel,y_pixel,bbox_w,bbox_h
2,0.2,1,1100,1186,625,910
3,0.3,1,1243,1184,641,918
4,0.4,1,1349,1201,664,931
5,0.5,1,1414,1222,695,952
6,0.6,1,1414,1248,725,969
7,0.7,1,1382,1265,751,983
8,0.8,1,1255,1263,755,980
9,0.9,1,1136,1261,759,986
10,1.0,1,1077,1222,736,952
11,1.1,1,997,1226,733,951
12,1.2,1,1047,1219,733,947
13,1.3,1,1136,1203,739,940
14,1.4,1,1251,1190,746,924
15,1.5,1,1274,1188,744,922
16,1.6,1,1297,1185,743,920
17,1.7,1,1320,1182,741,919
18,1.8,1,1343,1179,740,917
19,1.9,1,1367,1177,739,915
20,2.0,1,1390,1174,737,913
21,2.1,1,1413,1171,736,912
